No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,ALE
30.1,81.7,26.9,NA,33.2,11.3,73.5
21.2,83.4,25,13.8,26.1,5.9,76.6
24,79,22.5,NA,35,4.9,75.6
NA,NA,NA,NA,NA,8.2,75.7
21.1,77.9,20.7,19.6,24,5,77.1
24.2,NA,NA,NA,15.7,8.4,75.7
25.7,NA,32.6,NA,26.2,6.1,77.3
NA,NA,NA,NA,NA,NA,77.1
24,80.8,27.3,27.5,28.6,9,75.9
30.9,NA,28.1,NA,26.8,4.5,75.9
27.5,84.6,25.3,36.5,28.5,10.8,75.1
24.9,NA,22.5,27.3,29.7,6.9,76.9
NA,NA,NA,NA,NA,13.7,75.1
24.8,74.4,27.1,30.6,18.1,7,77.4
26.5,88.9,23.9,NA,35.6,7.1,75
29.3,79.1,26.6,25.9,27.5,9,75.7
24.5,78.6,20.8,NA,21.4,7.4,77.7
29.4,77.4,21.1,19.7,28.5,4.1,76
26.7,NA,25.7,NA,27.5,7.5,77.3
28.3,80,28,NA,25,8.5,77.6
26.3,79.9,22.2,28.6,29.5,8.7,75.1
31.7,82.8,37.1,NA,15.4,6.2,78.8
25.9,74.9,21.7,24.5,27.1,7.8,75.3
33.1,80.6,33.3,NA,29.7,9.8,75.6
33.4,NA,24.9,20.4,23.6,8.1,75.8
NA,NA,NA,NA,NA,NA,74.9
33,84.8,23.1,NA,26.9,3.5,76.3
28.5,78.5,18.7,23.9,35.7,4.7,76.4
32.1,86.5,34,NA,27.7,9.4,76.7
24.3,74.9,28.1,20.2,22.7,6.1,76.5
21.5,76.1,28.3,25.3,25,8.8,76.2
25,82.3,19.9,23.7,16.8,6.2,77.3
26.2,77,25.2,27.7,23.2,5.5,77.1
21.4,79.6,23.8,25.4,23.6,5.9,77.3
30.4,79.5,26,NA,25,8.1,75.5
23.7,NA,26.9,NA,24.8,10,75.1
24.1,76.8,21.9,26.4,25.7,6.3,76.2
35.5,82,37.1,NA,24.6,12.1,75.1
28.5,86.1,26,NA,25.4,9.5,77.1
35.9,89.1,23.7,NA,31.1,9.2,77.2
31.5,NA,25.5,27.8,22.5,8.1,77.2
27.1,80.4,33.2,34.5,27.8,8.7,75.5
29.3,81.3,28.7,NA,26.2,11.2,76.4
16.4,76.3,20,18.6,16.9,4.8,79.1
24.3,82.7,20.7,18.8,20.5,6.5,77.3
22.9,80.8,21.1,20.2,23,5.2,76.4
NA,NA,NA,NA,NA,9.6,71.7
28,82.8,28.9,18.6,26.7,7.7,76.8
22.1,74.1,23.4,26.1,23.8,5.2,78.1
31,81.8,30.1,NA,26.8,8.6,75.8
23.6,79.1,25.8,28.6,24.3,9.2,75.8
26.2,79.6,24,NA,22.3,8.8,77.2
28.9,83,25.1,27.1,31.4,7.4,76.2
26.4,NA,27.9,20.5,26.5,9,77.6
35.7,78.8,27.3,NA,25.2,12.7,76
23,80.5,26.9,NA,35.7,5.7,75.7
35.4,88.1,23.8,NA,28.9,10.3,74.7
NA,NA,NA,NA,NA,6,77
NA,NA,NA,NA,15.7,13.6,71.9
25.4,81.6,22.5,23.7,27,6.3,77.6
30.4,78.3,25.1,NA,30,7.8,75.2
24.4,73.3,24,28.7,27,8.2,77.1
22.7,78.5,26.8,NA,32.6,5.5,78.5
29.2,79,28.7,27.5,27.7,8.1,74.4
28.3,79.8,25.6,30.5,26.6,8,76.2
34,80.7,28.7,31.7,29.1,11.5,75.7
28.3,77.8,27.1,30.1,29.4,8.4,75.7
26.3,78.4,24.3,25.4,28,7.5,74.5
27.7,70.3,26,20.4,26.8,5.7,77.7
NA,NA,18.4,NA,NA,10,76
22.9,75.6,23.1,24.9,21.3,6.5,76.1
21.1,NA,NA,NA,NA,6.5,78.9
13.2,77.4,16.1,15.9,17.5,3.9,80.5
20.6,NA,19.2,22,21.1,5.2,79
25.5,84.3,NA,NA,16.5,11.8,79.6
27.8,75.2,22.5,23.1,18.9,4.3,78.4
27.8,85.3,23.2,22.1,30.2,8.8,76.7
19.9,81.9,21.5,23.5,20.7,6.2,79.3
28.6,84,NA,NA,23.9,6.9,79.6
NA,NA,NA,NA,NA,10.7,76.9
21.7,79.8,17.6,25.1,18.5,4.8,81.3
29.7,81.5,25.7,28.2,25.5,5.4,79.4
28.1,79.4,26.1,20.1,20.3,3.8,78
30.5,88.5,20.5,24.5,22.3,5.1,79
25.4,81.4,22.7,28,25.8,7.2,78.5
28.7,81.5,27.9,25.4,25.9,6.9,76.1
22.5,75.6,22.6,26.2,29.5,6,76.4
22.3,NA,20.6,28.5,19.3,4.6,79.2
NA,85.3,NA,NA,23.2,10,77.5
